like,title,category_id,duration,view_count,like_count,comment_count,topic_categories,upload_date
1,2개월 차 청년인턴과 20년 차 과장님의 밸런스게임 [인턴이 인터뷰했네🎤],25,PT8M29S,45067,75,36,['https://en.wikipedia.org/wiki/Society'],2024-06-24T05:32:48Z
1,"Less Conversation, More Action | Palantir Customer Service Engine (CSE)",28,PT2M9S,8161,374,0,"['https://en.wikipedia.org/wiki/Business', 'https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",2024-09-27T15:59:30Z
0,2400시간 동안 촬영했습니다,24,PT48M28S,5618737,33288,3717,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],2020-12-19T12:20:46Z
0,EP.01 에어컨,22,PT24M4S,7981504,135528,13735,[],2023-08-31T09:23:13Z
0,QWER 고민중독 작곡가 커버 #갠적으로더좋은데? #제발풀버전,22,PT57S,373525,4581,338,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",2024-07-16T13:56:32Z
1,What Is A Trie and How Do We Build One In Python?,28,PT18M24S,16238,387,24,['https://en.wikipedia.org/wiki/Knowledge'],2019-09-22T03:55:17Z
1,데이터 사이언티스트는 대학원 필수인가요?,27,PT8M10S,2987,56,7,['https://en.wikipedia.org/wiki/Knowledge'],2024-04-29T04:56:15Z
1,남자 봄 패션 필수템! 모르면 이거 보세요 (돈 아끼는 구매 순서까지),22,PT5M45S,158104,3122,150,"['https://en.wikipedia.org/wiki/Fashion', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",2024-02-17T03:30:11Z
1,Analyzing Nonfiction: Who's Making All Those Scam Calls by Yudhijit Bhattacharjee,22,PT4M50S,64,2,0,['https://en.wikipedia.org/wiki/Knowledge'],2021-02-09T05:04:15Z
1,"How large language models work, a visual intro to transformers | Chapter 5, Deep Learning",27,PT27M14S,3251319,116872,2550,['https://en.wikipedia.org/wiki/Knowledge'],2024-04-01T19:13:57Z
0,Kiernan Dewsbury-Hall VS The Big 6,22,PT6M48S,118361,995,170,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",2024-06-27T20:02:34Z
0,Tottenham beat Manchester City to top table | Premier League Update | NBC Sports,17,PT23M14S,59602,499,58,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport', 'https://en.wikipedia.org/wiki/Television_program']",2020-11-22T00:18:35Z
0,스트레칭의 위험성 😱,17,PT8S,15780158,259185,3502,"['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Physical_fitness']",2021-12-31T09:00:21Z
1,"185. TLT, TMF, TLTW 언제, 어디에, 어떻게 투자하나?",26,PT12M30S,32683,919,96,['https://en.wikipedia.org/wiki/Society'],2024-04-30T08:15:03Z
0,세계최고 수비수의 대인수비능력 #shorts #반다이크,22,PT36S,4168632,38084,1475,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",2024-06-03T10:48:56Z
0,⚠ 부부 사이 아닙니다 ⚠,17,PT12S,11942746,96617,7785,"['https://en.wikipedia.org/wiki/Baseball', 'https://en.wikipedia.org/wiki/Sport']",2023-02-07T23:50:22Z
1,No-Nonsense Frontend Engineering Roadmap,28,PT15M9S,97885,4238,85,"['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",2024-05-06T19:00:21Z
0,"모두의 계란 10편, 편의점의 그 계란샌드위치 [Egg Sandwich] | 정호영의 오늘도 요리",26,PT5M59S,1341909,19351,527,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",2020-02-04T01:28:57Z
1,안 보면 평생 후회하는 궁극의 돈까스,19,PT45S,4639171,112152,2279,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",2024-04-06T01:00:15Z
0,Web Developer Roadmap 2022 | Ultimate Guide To Starting A Career In Web Development,27,PT22M27S,179423,8181,227,['https://en.wikipedia.org/wiki/Knowledge'],2021-12-18T17:02:03Z
0,다시는 배린이를 놀리지 않겠습니다 ...,20,PT40S,1436761,52461,968,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",2023-09-23T03:00:06Z
0,[솔로지옥3]싫은 남자 앞에서 표정 못 숨기는 여자,24,PT59S,408767,4083,81,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Television_program']",2024-07-01T04:17:00Z
0,판돌이의 집은 어디? | 깨비안전교육 | 안전맨 | 몽구 | 모르는 길 | 안전한 길 | 깨비키즈 KEBIKIDS,27,PT8M11S,1815657,3357,0,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",2017-05-16T07:00:00Z
0,"[레전드짤] ""어우 어우...굿샷!"" 송유진의 칭찬을 이끌어낸 전재익의 초정밀샷! (2020.02.05 코리아 컬링리그 믹스더블)",17,PT1M50S,882693,4558,946,['https://en.wikipedia.org/wiki/Sport'],2020-02-07T04:44:10Z
1,세상을 이끄는 천재의 7단계 독서법,27,PT7M53S,570439,14982,242,[],2022-03-22T12:00:15Z
1,지극히 높으신 주 (Feat. Sein) King of Kings | 힐송 한국어 Feat. Sein,10,PT4M26S,497063,3281,114,"['https://en.wikipedia.org/wiki/Christian_music', 'https://en.wikipedia.org/wiki/Music']",2019-11-15T04:00:01Z
1,(총정리)🇯🇵일본 오사카 여행 핵심 요약🗼중요 스팟 34곳 몰아보기(+꿀팁/솔직리뷰) | 오사카 핫플 | 주유패스 | 쇼핑 | 맛집 | Osaka,19,PT32M46S,627058,10873,242,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Tourism']",2023-10-20T09:00:36Z
1,자바스크립트 비동기 프로그래밍 #1 | 동기 vs 비동기,27,PT13M52S,5997,241,71,"['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",2023-11-11T10:51:20Z
1,5 Altcoins I'm Buying During The Market Crash,27,PT42M2S,438709,13920,750,['https://en.wikipedia.org/wiki/Society'],2024-05-07T01:30:15Z
0,"""호형 : 여기!!""  ""손흥민 : 아유 진짜""",17,PT31S,3143940,30719,514,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",2022-07-12T04:10:49Z
1,내 마음을 가득 채운 - 위러브 Retouched | 메인 건반 커버 E.Piano Cover | 리드시트 포함 | Here I am again,10,PT6M28S,14220,176,37,"['https://en.wikipedia.org/wiki/Christian_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",2020-10-22T14:47:15Z
0,"보이스 키즈 - [엠보키4회/배틀라운드] 전아현,박예음,이은성 - 눈의 꽃(박효신)",24,PT3M8S,2139136,10799,1168,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Television_program']",2013-01-25T16:14:20Z
0,[미공개] 좀비 사태에 덱스 챙긴다는 태연,22,PT47S,192206,6452,197,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Television_program']",2024-07-19T10:00:58Z
1,말도 안 되는 맛,26,PT28S,7294519,211145,1057,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",2024-03-11T09:01:54Z
0,더 지니어스: 블랙가넷 S03E09 하연주 꽃병풍의 반란,10,PT1M39S,159805,298,99,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Television_program']",2015-11-03T15:33:33Z
0,대한민국 삼행시 국가대표의 위엄!,24,PT58S,2959320,58718,424,[],2023-09-01T13:00:00Z
1,이무진 신곡 스포 멜로디만 보고 코드 맞추기,10,PT29S,1634938,30350,1295,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",2024-09-24T09:45:02Z
1,🤣🤣😂😂🤣  BLADE OF STEEL #comedy #funnyvideo #funny #viral #shorts #trending #goviral,20,PT1M1S,96094602,3872705,28172,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Humour']",2024-01-05T14:23:55Z
0,美친육즙 최상급 한우! 레어VS웰던 |수요미식회 How to eat Hanwoo Korean Beef | Wednesday Foodtalk,24,PT4M32S,1126026,2192,2376,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Humour', 'https://en.wikipedia.org/wiki/Television_program']",2019-06-11T09:23:26Z
0,진짜 끝까지 박박 우기는 사람들 #도경수 #이영지,22,PT50S,3304051,125249,326,['https://en.wikipedia.org/wiki/Entertainment'],2024-09-13T12:36:43Z
1,"Answering ALL your DATA SCIENCE questions: salary, work life balance, tech interviews, and more!",28,PT21M10S,8667,289,22,['https://en.wikipedia.org/wiki/Knowledge'],2023-05-28T13:30:04Z
0,HTML 강의 Ep07_1 - 이미지 & 멀티미디어 태그 | img 태그 | 웹 개발 입문 | 함께 웹 개발에 입문해 보는건 어떨까요?,27,PT9M,7504,55,17,['https://en.wikipedia.org/wiki/Technology'],2021-09-11T13:05:45Z
1,필기는 노션으로 정착했어요 | Notion 필기노트 템플릿으로 쉽게 필기하기,26,PT14M3S,143236,5629,76,[],2024-05-31T11:00:29Z
0,[경기 분석] 레알 마드리드와 맨시티의 수준 높은 챔스 8강 1차전,17,PT6M2S,11533,198,22,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",2024-04-10T13:30:17Z
0,[UEFA 유로 2024] 16강 잉글랜드 vs 슬로바키아,17,PT20M11S,2153018,17523,3010,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",2024-06-30T19:43:44Z
1,엽떡 뒤편에 써있는 재료를 섞으면 엽떡이 될까?,22,PT7M30S,925740,15981,619,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",2024-02-23T11:35:19Z
1,"[리얼타임] 운동할 때 안압 신경 써야 합니다ㅣ 녹내장 예방하는 초간단 운동법 | 귀하신 몸 - 24화 증상 없는 실명의 위협, 녹내장을 예방하는 법 #귀하신몸 #귀하신몸운동법",24,PT6M10S,9019,183,4,['https://en.wikipedia.org/wiki/Health'],2023-10-28T13:00:24Z
0,진짜 사나이나왔다가 민망 실수한 연예인 모음,24,PT38S,3685884,37059,419,[],2024-07-25T02:45:00Z
1,일주일에 4일은 책임져줄 삼겹살 3가지 레시피,22,PT54S,1025039,29805,272,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",2023-11-15T09:01:40Z
1,"5 Unique Portfolio AI Projects (beginner to intermediate) | Python, OpenAI, ChatGPT, Langchain",27,PT16M52S,138027,4298,114,"['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",2023-10-21T17:07:27Z
1,Primary & Foreign Keys,27,PT8M25S,483223,11701,637,"['https://en.wikipedia.org/wiki/Business', 'https://en.wikipedia.org/wiki/Knowledge']",2013-06-06T12:35:09Z
1,How to learn AI and get RICH in the AI revolution,28,PT7M11S,492290,18729,460,"['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",2023-09-02T05:00:16Z
1,Master React JS in easy way,26,PT12M18S,102903,9245,640,"['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",2024-07-23T11:17:21Z
1,미국 펜실베니아 주립대 샘리차드 교수의 강의중 서양과 동양의 문화에 대한 토론중 한국 학생을 향해 쏟아지는 박수갈채. 한국학생의 겸손...,25,PT9M51S,4257542,29954,1750,"['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']",2020-07-12T06:19:08Z
0,[몰카]참이슬 보고있나!!?? 어리버리 신입사원이 무료 광고 해줬다!!! 미녀분하고 같이 웃을분 구독 쁘락딱 눌러라!!!! 가만히 지켜보던 사장님도 터졌다!!!,23,PT6M28S,1539661,14376,535,[],2021-01-14T08:00:07Z
1,EVERYTHING You Need to Know for the Digital SAT,27,PT7M45S,174567,10167,246,['https://en.wikipedia.org/wiki/Knowledge'],2023-08-05T20:53:12Z
1,How to Make Learning as Addictive as Social Media | Duolingo's Luis Von Ahn | TED,28,PT12M55S,7537100,374902,4512,['https://en.wikipedia.org/wiki/Knowledge'],2023-10-26T11:00:18Z
0,가위바위보는 공정할까? 이기는 법은 없을까?,27,PT4M51S,1702439,19811,3535,['https://en.wikipedia.org/wiki/Society'],2019-03-30T06:13:18Z
0,Ronaldo's Secret: Discipline,22,PT30S,6037,73,4,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",2024-08-14T17:21:03Z
1,First Week In San Francisco,22,PT12M28S,85,10,3,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Tourism']",2024-09-12T22:31:40Z
1,The Lion and the Lamb,10,PT5M22S,721784,2452,8,"['https://en.wikipedia.org/wiki/Christian_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",2022-04-15T03:07:02Z
0,꼼수 부리는 허들 꿈나무,17,PT1M,6729298,74806,0,['https://en.wikipedia.org/wiki/Sport'],2024-06-03T10:00:23Z
1,여자들이 좋아하는 평균 남자 키 되는법? (의학적으로 검증된 운동으로 숨은 '키' 5cm 찾는 방법?),17,PT5M42S,1326412,50175,1258,"['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Physical_fitness']",2023-07-18T10:00:41Z
1,How to Solve ANY LeetCode Problem (Step-by-Step),28,PT12M37S,256197,10825,143,['https://en.wikipedia.org/wiki/Knowledge'],2024-05-21T19:00:14Z
0,2019년 프로마술사도 놀란 마법 같은 엄청난 마술들 TOP5 - 니키,24,PT10M35S,316695,1954,151,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Performing_arts']",2019-11-23T03:00:00Z
1,【꿀팁강의】 엘리엇 파동 타겟팅하는 법 (기초&중급),24,PT26M14S,241940,9859,343,[],2023-07-02T02:28:52Z
1,건반 애드립🎹 실제로 마르고 닳도록 쓰고 있는 애드립 라인 3가지👀 같이 배워봅시다🙌ㅣ연결부분 자연스럽게 치는 법,22,PT14M44S,145490,3480,160,['https://en.wikipedia.org/wiki/Music'],2022-10-27T09:35:57Z
1,전자레인지 2분컷 🍳이찬원 간장계란밥🍳,24,PT21S,4461111,141171,677,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",2024-06-17T04:00:22Z
1,"[투자이야기] 미국증시 신고가 경신, 언제까지 이어질까? | 9월 FOMC 50bp 금리인하 이후 S&P 500 버블 위험과 대응 전략",27,PT22M48S,10722,628,0,[],2024-09-22T03:28:33Z
1,[피아노반주법] 내 연주가 고급스럽게 들리지 않는 이유? 왼손 옥타브 주법 이제 그만!!  _ 코드 반주법 ccm,10,PT6M56S,146017,3421,39,['https://en.wikipedia.org/wiki/Music'],2020-07-21T11:00:13Z
1,While loops in Python are easy ♾️,27,PT6M58S,380633,10405,248,['https://en.wikipedia.org/wiki/Knowledge'],2022-10-22T14:02:58Z
0,'패스만 24번' 티키타카 제대로 보여준 캄비아소의 골⚽  #shorts,17,PT1M,553358,8610,441,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",2024-06-12T02:30:25Z
1,Lorentzian Classification: Machine Learning Driven TradingView Indicator,22,PT17M43S,250377,6701,675,['https://en.wikipedia.org/wiki/Knowledge'],2023-02-10T02:40:05Z
1,단돈 5만원으로 알래스카에 다녀온 사람,23,PT1M,6272113,107304,418,[],2024-06-16T02:00:19Z
0,"[한국어 천재] 비건 레시피로 즐기는 한국 음식 | 한국어천재, Food Talk",24,PT20M25S,914,20,3,['https://en.wikipedia.org/wiki/Society'],2020-07-15T02:23:02Z
1,영상통화로 이승우 데뷔골 축하해주는 조원희… 생각보다 많이 힘들었었나 보네요ㅠㅠㅠ,17,PT8M44S,268812,3712,545,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",2020-09-15T04:43:15Z
0,"ENTJ 블랙큐티 레전드 길거리캐스팅ㅣKorean Cute girl, Rate yourself challenge",24,PT58S,6223835,122457,1678,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],2023-08-31T09:00:12Z
0,저 이 이름 마음에 드네욬ㅋ 그림자의 빛이라니..,22,PT7S,549,10,18,[],2024-09-21T09:56:12Z
0,메인 재료가 많아야 맛있다,22,PT44S,2694829,39089,872,['https://en.wikipedia.org/wiki/Food'],2024-09-07T11:01:01Z
0,Good Baby Zombie but Poor - Sad Story - Minecraft Animation,1,PT9M33S,7640811,80272,1364,['https://en.wikipedia.org/wiki/Video_game_culture'],2021-05-06T03:29:43Z
0,간장게장 멸망전ㄷㄷ온라인 최고의 게장을 찾아서..,22,PT15M56S,1415334,21798,5297,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",2020-09-26T09:15:05Z
1,"But what is a neural network? | Chapter 1, Deep learning",27,PT18M40S,17482744,428349,7593,['https://en.wikipedia.org/wiki/Knowledge'],2017-10-05T15:11:25Z
1,How The Backend Works,27,PT4M14S,557167,14523,154,"['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",2019-04-01T16:00:01Z
0,"바흐 무반주 첼로곡과 쇼팽 녹턴의 만남 Chopin Nocturne with Bach Suite, No.1",10,PT5M38S,1171451,5876,24,"['https://en.wikipedia.org/wiki/Classical_music', 'https://en.wikipedia.org/wiki/Music']",2022-12-16T18:44:59Z
1,Back End Developer Roadmap 2024,27,PT10M30S,598382,19086,555,"['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",2024-03-11T14:16:38Z
0,"Linear Regression, Clearly Explained!!!",27,PT27M27S,1396752,23437,1584,['https://en.wikipedia.org/wiki/Knowledge'],2017-07-24T19:06:27Z
0,외동은 공감 못하는 영상,23,PT30S,1790033,56335,2372,[],2024-09-14T08:30:01Z
1,Jesus I Love You More (Live),10,PT8M26S,708343,2146,0,"['https://en.wikipedia.org/wiki/Christian_music', 'https://en.wikipedia.org/wiki/Music']",2020-04-18T19:07:34Z
0,"맛있는 삼겹살 구이 하면서 기름튐 난리에서 해방되는 방법 by mimimgram  (ASMR cooking No talking, prevent oil splashing)",26,PT56S,1266074,2151,881,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",2020-04-11T14:05:36Z
1,3 PYTHON AUTOMATION PROJECTS FOR BEGINNERS,28,PT17M,1672557,71430,773,"['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",2022-07-12T12:00:40Z
0,Despicable Me 3 Final Battle with healthbars 2/2 (10K Subscriber Special),20,PT4M25S,6574358,35533,273,['https://en.wikipedia.org/wiki/Video_game_culture'],2020-04-29T19:06:24Z
1,"유명 컨퍼런스 모델로 트레이딩 하기 (PatchTST, ICLR 2023)",28,PT7M19S,548,27,3,['https://en.wikipedia.org/wiki/Knowledge'],2024-10-01T05:32:37Z
1,1 day vs 10 years in Germany | Windows 🥶💨,24,PT1M,57093693,2788884,17391,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],2024-07-13T17:13:46Z
0,[솔로지옥3] 덱스씨 뒤에서 몰래 스킨쉽하죠?,24,PT58S,5690744,60594,624,[],2023-12-31T09:00:26Z
1,[투자이야기] 비트코인 전고점 돌파 가능할까? | 비트코인 썸머랠리 가능성 & 2024년 하반기 투자전략,27,PT21M17S,6132,401,0,[],2024-07-20T23:41:30Z
1,"#가짜뉴스 #가짜신앙, 남의 말에 혹하지 않고 내 중심을 지키는 법ㅣ김학철 목사, 연세대 학부대학 교수ㅣ잘잘법 Ep. 33",27,PT17M54S,375945,9615,505,"['https://en.wikipedia.org/wiki/Religion', 'https://en.wikipedia.org/wiki/Society']",2020-05-29T12:00:12Z
0,한번에 살펴보는 캄보디아 역사 (History of Cambodia),27,PT12M59S,445927,4843,518,['https://en.wikipedia.org/wiki/Knowledge'],2019-03-13T16:01:16Z
1,Promises 약속의 하나님｜GIA Micro Lab Music｜한글자막,10,PT4M51S,824,43,4,"['https://en.wikipedia.org/wiki/Christian_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",2024-07-18T07:38:47Z
1,집에서 5kg 덤벨로 하는 어깨 운동루틴!,17,PT12M48S,2183330,37299,1043,"['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Physical_fitness']",2022-03-19T08:38:23Z
0,EBS 다큐프라임 - Docuprime_비밀의 왕국 1부- 제국의 탄생_#003,19,PT10M48S,57476,450,34,['https://en.wikipedia.org/wiki/Knowledge'],2019-03-05T10:08:48Z
1,일반인이 축구선수와 뛰면 느끼게 되는 것들 + 선수가 되는 방법,17,PT14M4S,69504,1438,184,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",2021-01-18T09:00:15Z
1,"If I Wanted a Software Engineering Internship in 2025, I’d Do This",27,PT10M,116967,7283,190,"['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",2024-08-27T21:00:42Z
0,김지영이 뜨거워진 이유,24,PT32S,287752,3274,115,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Television_program']",2024-05-18T03:15:02Z
1,Katy Perry - Firework (Lyrics),10,PT3M49S,58921688,433026,11671,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",2020-07-31T15:24:52Z
1,24시간동안 스마트폰 안 쓰기 vs 스마트폰만 쓰기!! 폰만 갖고 살 수 있을까?!,24,PT17M49S,4416487,30798,2675,[],2020-11-29T09:00:00Z
1,🔥불 안 쓰고 전자렌지로 만드는 살빠지는 단백질 가득 다이어트 레시피 | 초간단 요리 | 다이어트식단,26,PT12M21S,100839,5949,45,"['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",2023-09-24T00:00:20Z
1,System Design Concepts Course and Interview Prep,27,PT53M38S,340173,12346,220,"['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology']",2024-07-25T13:36:47Z
0,진상손님에 의해 탄생한 음식,27,PT3M12S,154745,2278,350,[],2021-01-17T07:00:15Z
0,[몰카]깔고아저씨 이번엔 보험회사 저격하다!! 보험약관 개공감 몰카로 웃겨 버렸는데 동의하십니까? 구독 무조건 하셔야 하시는거 동의 하십니까!? 어 보감,23,PT9M19S,2604435,27721,892,[],2021-04-11T10:45:01Z
1,여행용 캐리어 '이것'만 알면 끝납니다! 추천 제품 BEST5,22,PT7M35S,178380,1104,26,[],2023-02-10T01:41:47Z
1,How to create Football Pass Maps using Python,17,PT20M34S,7679,476,14,['https://en.wikipedia.org/wiki/Knowledge'],2022-06-13T13:12:55Z
0,몇 명이 더 붙어야 하는 거야,17,PT22S,154558,992,37,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",2024-09-23T02:07:50Z
0,오빠 허벅지는 왜 자꾸 내려쳐? #스물,22,PT59S,2546356,26496,967,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Television_program']",2024-04-23T08:30:22Z
